city,ep0,ep0F,ep1F,deltaExposure0,deltaExposure1,deltaNDVIGlobal0,deltaNDVIGlobal1,deltaNDVILocal,di
São Paulo,173282511.90095097,130214576.97990204,130160949.4547674,-24.854172789038714,-24.885120819827474,37.99110990370361,19.053186937336978,0.68,0.5
Buenos Aires,196654806.6448514,164151909.43956673,165045105.53185368,-16.527893601900736,-16.073698707036044,57.68376798716216,27.522880751101212,0.78,0.5
Suzhou,105001548.0006419,72255737.41123973,75684157.5403975,-31.18602650429686,-27.92091261365516,83.22296405398612,34.476100590486986,0.8,0.5
Seattle,31710166.466289897,25803256.238480866,26492341.51365007,-18.627812105901384,-16.45473844543432,26.854959555804744,12.414050718439503,0.7100000000000001,0.5
Moscow,265433849.8460681,225692038.7938735,230425162.9836523,-14.972397482552402,-13.189232225926819,31.363916827365248,10.727851146368332,0.77,0.5
London,148830027.31024683,119116434.23763871,122491426.81770644,-19.964783726517773,-17.697101162009258,45.2710288340149,15.977669695147036,0.8700000000000001,0.5
Tijuana,61278219.76272307,49569162.64743073,49530914.178159855,-19.10802428763641,-19.17044201031011,143.0485855077069,35.56281837630112,0.7000000000000001,0.5
Surabaya,51518858.17272873,33591782.691860415,34686240.51697914,-34.79711336140973,-32.672730438462736,48.46780426158103,20.364025407399286,0.8500000000000001,0.5
Johannesburg,95532333.30135363,77798006.8622984,79551015.31457779,-18.563690246225722,-16.728700571316832,80.54474991813417,21.627440929684656,0.77,0.5
Paris,164992728.8657415,136481306.28612617,138348238.57274008,-17.28041155244832,-16.148887575938375,51.29334927261927,16.397899387504,0.79,0.5
Melbourne,48499987.225265995,38728148.88455263,40065009.03760454,-20.14812559707798,-17.391712184343145,88.25372232187752,30.604224285944234,0.78,0.5
Cairo,584935702.4046577,529599879.8556984,529229157.34088993,-9.460154735208498,-9.523533071200719,181.00609381159964,35.205515607050096,0.64,0.5
Yogyakarta,17715585.181019716,7588691.1824501045,8920274.326593129,-57.16375663062745,-49.64730639465292,27.438709228934954,14.222469308040463,0.61,0.5
Washington D.C.,44473990.30707533,38717548.68529162,39338156.23980555,-12.943389118083976,-11.547949783252806,18.093211634188453,8.44072358602705,0.66,0.5
Philadelphia,62349047.73416033,54472874.69157547,54857840.410040066,-12.632387067348255,-12.014950663016965,19.502065197262688,8.627403376046734,0.76,0.5
Ho Chi Minh City,81177989.07351911,54102093.54360349,54328131.99821118,-33.353740144257884,-33.07529218417971,80.40302648977212,22.42377211332219,0.76,0.5
Tehran,258176530.11387238,225919277.06989527,225812862.77164727,-12.494262367593832,-12.535480017471246,269.7976833918722,53.55564520994769,0.64,0.5
Rio de Janeiro,102999227.96031946,81970415.12604702,83106949.04563464,-20.416476172397925,-19.313036911643973,32.88126774368987,14.55570755686508,0.7400000000000001,0.5
Denver,40256031.81345483,33943842.73033171,35078667.624957144,-15.680107548537325,-12.861089271017637,105.66785119420814,27.64843113456054,0.7400000000000001,0.5
Sydney,46586627.324648574,37771333.692469075,39019100.801397935,-18.922369225718565,-16.243988796430276,62.43342656090667,25.38458812385108,0.7100000000000001,0.5
Istanbul,241870575.8309828,205661988.30248606,205621493.08224037,-14.97023249070156,-14.986975006861933,60.351136390231176,17.869363130330665,0.67,0.5
Kuala Lumpur,19535337.959330127,5928297.622745112,7442858.37984628,-69.653467807483,-61.9005394463035,51.17737208930405,22.687187444069625,0.7000000000000001,0.5
Chengdu,64944881.5741763,40500325.1769426,42814839.80061526,-37.63892674023054,-34.075112983746656,58.72669757620473,23.71564642111436,0.7000000000000001,0.5
Dortmund,71735651.06559065,60778080.93907657,62431678.94194528,-15.274929499831474,-12.96980230253768,32.381804943311685,14.166249296001977,0.7400000000000001,0.5
Minneapolis [Saint Paul],25811647.100173596,22367922.24452522,22846545.44916598,-13.341747786506872,-11.487456184025055,25.22716166310603,11.257350479518095,0.6900000000000001,0.5
Lagos,51375018.45075455,26133873.714518547,25942462.304688796,-49.13116432343643,-49.503741143069554,91.92933878229216,26.581825066099483,0.66,0.5
Atlanta,28258061.600715663,24567165.123257946,25152580.572666645,-13.061392991528624,-10.989717100660467,26.93907437399271,14.247512574144864,0.61,0.5
Colombo,21136261.159684997,13976290.123287214,14776797.945503408,-33.875296024703786,-30.087928825896313,33.92796016031942,17.14384749338941,0.7000000000000001,0.5
Hanoi,29009072.005645007,13888205.564951874,15473807.119056879,-52.12461273408089,-46.65873104783993,76.80004637678918,31.257853327037775,0.79,0.5
Quanzhou,37337974.32708306,26331369.715814754,26899247.1688372,-29.47831211958565,-27.95740086701527,86.89792188811013,41.88605973447136,0.8,0.5
Montreal,39617812.46380821,32449609.584795825,33417943.685708825,-18.093383842332795,-15.649195128486987,35.69379103747762,13.47821596948982,0.6900000000000001,0.5
Mumbai,185012748.62545127,138253934.51856336,141601871.66303447,-25.27329303211894,-23.463721978586392,144.23303730593187,25.278147995825243,0.76,0.5
Indianapolis,11940919.56453447,9702988.386474581,10043537.031925835,-18.74169879434354,-15.889752228496878,28.60199545164289,11.47347261566523,0.68,0.5
Kansas City,17270953.167043254,15088929.581275266,15451530.777320635,-12.634065790484366,-10.534580067036913,28.370768664666578,9.968614881290003,0.64,0.5
Riyadh,106399454.37581104,92739053.65679854,92629758.97506315,-12.838788318183395,-12.941509410482759,552.159037990203,196.4764414425028,0.64,0.5
New Taipei [Taipei],78444973.93860006,60108107.821178645,60360232.54300969,-23.37545058243493,-23.054047299124022,30.402635327757793,11.766637828895838,0.7000000000000001,0.5
Bandung,46467109.51882041,32352914.17865722,33100365.47738921,-30.374592881544675,-28.766032963632732,35.278365348135566,14.447405187802218,0.6900000000000001,0.5
Orlando,11119336.012439964,8071786.574050965,8598299.28285629,-27.407656671041302,-22.67254741437095,48.30333135458651,19.143744232530295,0.64,0.5
Lahore,267572601.18164092,233841116.5282676,234639411.0812524,-12.606479327259224,-12.30813243020795,149.76891837442685,25.311751040280452,0.76,0.5
Cleveland,14791258.660507698,12514537.31333905,12758214.393899705,-15.392343541712496,-13.74490375208008,21.72690174451868,11.654020362597981,0.65,0.5
Portland,23218967.03207245,19232960.025949858,19853217.149778496,-17.167029870952938,-14.495691723257245,38.7397160821441,12.158062485636258,0.68,0.5
