city,ep,year,pop,epdays,epnights
Riyadh,181817363.50041944,2017,7699677.225124335,158545289.5484744,205089437.45236447
Riyadh,115197168.46510014,2018,7834588.773435866,93632997.46474038,136761339.4654599
Riyadh,171120785.7490608,2019,7969500.334373359,157494187.88107562,184747383.61704597
Riyadh,136150535.0971162,2020,8104411.896133603,118601323.72407247,153699746.47015992
New Taipei [Taipei],89272474.613847,2010,12156198.85960112,77122918.05519012,101422031.17250389
New Taipei [Taipei],70948092.9389109,2011,12244403.359211057,74316201.13965948,67579984.73816231
New Taipei [Taipei],77308463.52313957,2012,12332607.907754969,93232379.6838398,61384547.362439334
New Taipei [Taipei],101027069.19217506,2013,12420812.397213303,101277391.61591107,100776746.76843905
New Taipei [Taipei],110091813.64805982,2014,12509016.87924153,97455039.47890037,122728587.81721926
New Taipei [Taipei],83242076.99389526,2015,12597221.419886356,82238371.73302782,84245782.2547627
New Taipei [Taipei],107727811.62050664,2016,12687924.390086742,102986144.4215393,112469478.81947398
New Taipei [Taipei],114199059.73107667,2017,12778627.344658446,121615763.10370135,106782356.35845199
New Taipei [Taipei],71760768.68508577,2018,12869330.27258038,69711682.88713455,73809854.483037
New Taipei [Taipei],69570693.57343125,2019,12960033.239630304,70020938.62206316,69120448.52479935
New Taipei [Taipei],91435901.69732718,2020,13050736.202009,79402490.3891657,103469313.00548866
Bandung,32150297.12801382,2010,9542850.662887255,60906097.902521834,3394496.353505805
Bandung,32245494.537514407,2011,9685300.739878286,59189821.2927084,5301167.782320417
Bandung,25927259.899889186,2012,9827750.796430005,38330127.751571655,13524392.048206717
Bandung,23999109.982230462,2013,9970200.83160893,38955849.767211914,9042370.197249006
Bandung,61489285.21557891,2014,10112650.933192952,104259957.13864326,18718613.29251457
Bandung,122068565.10618086,2015,10255100.980629513,198786019.23358262,45351110.978779115
Bandung,18121977.94186648,2016,10360765.448293224,29243055.24468994,7000900.639043018
Bandung,74680381.28752506,2017,10466429.944382107,101953853.56577581,47406909.0092743
Bandung,75804853.66139542,2018,10572094.432535548,113537328.08852628,38072379.234264545
Bandung,92180975.45729312,2019,10677758.928793982,141973045.66053283,42388905.25405343
Bandung,18602230.808396854,2020,10783423.420776796,20314751.58480762,16889710.031986084
Orlando,16626606.266038172,2010,2202089.8442420163,14976375.870303972,18276836.66177237
Orlando,13680313.860299725,2011,2254920.0830230955,12888124.13749712,14472503.58310233
Orlando,10044791.230024714,2012,2307750.3262101244,8602421.048719143,11487161.411330283
Orlando,8509127.00925107,2013,2360580.569710222,5043319.216659279,11974934.80184286
Orlando,7729797.834431258,2014,2413410.807617471,7453697.674248621,8005897.994613895
Orlando,11514856.573358953,2015,2466241.048494527,11687211.69234983,11342501.454368073
Orlando,18737911.679321855,2016,2519889.608297342,17405806.62213884,20070016.73650487
Orlando,12166697.20007839,2017,2573538.1696396573,9415311.124705575,14918083.275451206
Orlando,11763806.086178651,2018,2627186.731445741,7852680.727801107,15674931.444556195
Orlando,12111405.22611386,2019,2680835.2874700087,10711086.847552804,13511723.604674913
Orlando,10148593.16437867,2020,2734483.8514060862,9984156.456893548,10313029.871863792
Lahore,343543520.13149893,2010,16602528.128935877,351800854.3817838,335286185.88121414
Lahore,297868768.5762646,2011,16987722.996286623,243193063.4264118,352544473.7261174
Lahore,405393735.29462683,2012,17372917.8671328,397015850.6509975,413771619.9382561
Lahore,396863603.83454037,2013,17758112.727016013,332396076.9963705,461331130.6727103
Lahore,310790176.2674204,2014,18143307.596097536,197864770.2471342,423715582.2877067
Lahore,316165451.4652282,2015,18528502.48316348,294232589.31135404,338098313.61910236
Lahore,341673059.9820153,2016,18879244.923230074,253984483.4266596,429361636.53737104
Lahore,276429486.9058604,2017,19229987.402265973,187567794.43651772,365291179.37520313
Lahore,283946443.5794233,2018,19580729.869851884,230030362.24837118,337862524.9104755
Lahore,370461000.86272925,2019,19931472.298925184,320412583.0891292,420509418.6363293
Lahore,234108999.4005386,2020,20282214.745335978,86481892.21123582,381736106.58984137
Cleveland,25068837.92312069,2010,2703588.2395736435,24420513.107195567,25717162.73904581
Cleveland,18868589.991786998,2011,2687554.0323363384,17218104.374767326,20519075.60880667
Cleveland,38643717.2265238,2012,2671519.8179425728,47868198.35918864,29419236.093858965
Cleveland,8645610.917826578,2013,2655485.6109602153,11482211.23278749,5809010.602865667
Cleveland,8423286.504010892,2014,2639451.4003299735,9471150.68504095,7375422.322980832
Cleveland,14638273.665269092,2015,2623417.190751884,16355406.32516017,12921141.005378015
Cleveland,30470003.49773304,2016,2605041.3445900455,36211846.90847987,24728160.086986214
Cleveland,12977850.37886776,2017,2586665.49907,15451938.79811436,10503761.959621161
Cleveland,16724940.57985472,2018,2568289.652439885,16701802.888341486,16748078.271367952
Cleveland,11568271.072191745,2019,2549913.809073977,11310547.854919523,11825994.289463967
Cleveland,24385576.1429753,2020,2531537.9623862226,26170121.97373595,22601030.312214654
Portland,21849736.265786182,2010,3170241.2941455664,18897639.998182036,24801832.53339033
Portland,8400600.958686706,2011,3216790.8928039465,3681040.588618174,13120161.328755239
Portland,18154893.07199539,2012,3263340.4869667836,10453485.6316313,25856300.512359478
Portland,21053554.541718118,2013,3309890.091730032,13536433.798475634,28570675.2849606
Portland,32797268.993930545,2014,3356439.6848804317,22272462.05062343,43322075.93723766
Portland,52261892.34652701,2015,3402989.2866572104,49117233.043231584,55406551.64982244
Portland,30516617.70401693,2016,3448290.001747625,23948115.937929254,37085119.470104605
Portland,37850403.93670861,2017,3493590.713181423,29294568.081113152,46406239.79230406
Portland,42583786.73850271,2018,3538891.4339378374,35768021.44898148,49399552.02802395
